N,forward,backward,random
5.73047,8,8,8
5.73438,8,8,8
5.73828,8,8,8
5.74219,8,8,8
5.74609,8,8,8
5.75,8,8,8
5.75391,8,8,8
5.75781,8,8,8
5.76172,8,8,8
5.76562,8,8,8
5.76953,8,8,8
5.77344,8,8,8
5.77734,8,8,8
5.78125,8,8,8
5.78516,8,8,8
5.78906,8,8,8
5.79297,8,8,8
5.79688,8,8,8
5.80078,8,8,8
5.80469,8,8,8
5.80859,8,8,8
5.8125,8,8,8
5.81641,8,8,8
5.82031,8,8,8
5.82422,8,8,8
5.82812,8,8,8
5.83203,8,8,8
5.83594,8,8,8
5.83984,8,8,8
5.84375,8,8,8
5.84766,8,8,8
5.85156,8,8,8
5.85547,8,8,8
5.85938,8,8,8
5.86328,8,8,8
5.86719,8,8,8
5.87109,8,8,8
5.875,8,8,8
5.87891,8,8,8
5.88281,8,8,8
5.88672,8,8,8
5.89062,8,8,8
5.89453,8,8,8
5.89844,8,8,8
5.90234,8,8,8
5.90625,8,8,8
5.91016,8,8,8
5.91406,8,8,8
5.91797,8,8,8
5.92188,8,8,8
5.92578,8,8,8
5.92969,8,8,8
5.93359,8,8,8
5.9375,8,8,8
5.94141,8,8,8
5.94531,8,8,8
5.94922,8,8,8
5.95312,8,8,8
5.95703,8,8,8
5.96094,8,8,8
